X,Y,Half,Player1 Name,Player1 Team,Match Name
-30.09,9.9,1,Kevin FOLEY,Wolverhampton Wanderers,12.03.18 Wolverhampton Wanderers v Manchester United
38.84,11.05,1,Paul POGBA,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
25.58,11.44,1,Antonio VALENCIA,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
25.29,4.13,1,Wayne ROONEY,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
33.88,10.64,1,Antonio VALENCIA,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-27.55,5.44,0,Luis SUAREZ,Liverpool,11.09.10 Stoke City v Liverpool
-28.03,6.98,0,Stewart DOWNING,Liverpool,11.09.10 Stoke City v Liverpool
-44.82,9.54,0,Luis SUAREZ,Liverpool,11.09.10 Stoke City v Liverpool
-38.82,-5.87,0,Martin SKRTEL,Liverpool,11.09.10 Stoke City v Liverpool
-41.28,6.64,0,Dirk KUYT,Liverpool,11.09.10 Stoke City v Liverpool
-40.5,-13.08,0,Luis SUAREZ,Liverpool,11.09.10 Stoke City v Liverpool
28.34,7.03,1,Lucas LEIVA,Liverpool,11.09.10 Stoke City v Liverpool
28.91,-0.31,1,Jordan HENDERSON,Liverpool,11.09.10 Stoke City v Liverpool
32.21,2.02,1,Jordan HENDERSON,Liverpool,11.09.10 Stoke City v Liverpool
34.11,5.06,1,Jordan HENDERSON,Liverpool,11.09.10 Stoke City v Liverpool
29.62,-3.87,1,Charlie ADAM,Liverpool,11.09.10 Stoke City v Liverpool
41.35,-8.81,1,Charlie ADAM,Liverpool,11.09.10 Stoke City v Liverpool
30.23,-13.09,1,Jordan HENDERSON,Liverpool,11.09.10 Stoke City v Liverpool
-32.28,0.72,1,Peter CROUCH,Stoke City,11.09.10 Stoke City v Liverpool
36.78,-3.96,1,Luis SUAREZ,Liverpool,11.09.10 Stoke City v Liverpool
31.87,14.11,1,Luis SUAREZ,Liverpool,11.09.10 Stoke City v Liverpool
28.65,-8.9,1,Lucas LEIVA,Liverpool,11.09.10 Stoke City v Liverpool
27.13,-10.25,1,Daniel AGGER,Liverpool,11.09.10 Stoke City v Liverpool
38.12,16.06,1,Stewart DOWNING,Liverpool,11.09.10 Stoke City v Liverpool
33.97,-15.29,1,Craig BELLAMY,Liverpool,11.09.10 Stoke City v Liverpool
33.01,-4.68,1,Andrew CARROLL,Liverpool,11.09.10 Stoke City v Liverpool
38.38,-0.63,1,Luis SUAREZ,Liverpool,11.09.10 Stoke City v Liverpool
-23.0,-8.0,0,Nathan DYER,Swansea City,12.02.11 Swansea City v Norwich City
-35.0,10.0,0,Gylfi SIGURDSSON,Swansea City,12.02.11 Swansea City v Norwich City
33.0,-20.0,0,Anthony PILKINGTON,Norwich City,12.02.11 Swansea City v Norwich City
38.0,13.0,0,Grant HOLT,Norwich City,12.02.11 Swansea City v Norwich City
38.0,-16.0,0,Grant HOLT,Norwich City,12.02.11 Swansea City v Norwich City
-42.0,7.0,0,Danny GRAHAM,Swansea City,12.02.11 Swansea City v Norwich City
28.0,0.0,0,Anthony PILKINGTON,Norwich City,12.02.11 Swansea City v Norwich City
35.0,1.0,0,Elliott WARD,Norwich City,12.02.11 Swansea City v Norwich City
-35.0,-11.0,0,Danny GRAHAM,Swansea City,12.02.11 Swansea City v Norwich City
-36.0,-3.0,0,Angel RANGEL,Swansea City,12.02.11 Swansea City v Norwich City
-33.0,0.0,0,Gylfi SIGURDSSON,Swansea City,12.02.11 Swansea City v Norwich City
-21.0,11.0,0,Neil TAYLOR,Swansea City,12.02.11 Swansea City v Norwich City
-35.0,3.0,1,Anthony PILKINGTON,Norwich City,12.02.11 Swansea City v Norwich City
-44.0,-11.0,1,Grant HOLT,Norwich City,12.02.11 Swansea City v Norwich City
40.0,9.0,1,Nathan DYER,Swansea City,12.02.11 Swansea City v Norwich City
-33.0,5.0,1,Andrew SURMAN,Norwich City,12.02.11 Swansea City v Norwich City
-30.0,20.0,1,Kyle NAUGHTON,Norwich City,12.02.11 Swansea City v Norwich City
-41.0,-1.0,1,Wesley HOOLAHAN,Norwich City,12.02.11 Swansea City v Norwich City
-45.0,11.0,1,Steve MORISON,Norwich City,12.02.11 Swansea City v Norwich City
36.0,-15.0,1,Leroy LITA,Swansea City,12.02.11 Swansea City v Norwich City
42.0,1.0,1,Danny GRAHAM,Swansea City,12.02.11 Swansea City v Norwich City
38.0,-14.0,1,Mark GOWER,Swansea City,12.02.11 Swansea City v Norwich City
37.0,10.0,1,Steven CAULKER,Swansea City,12.02.11 Swansea City v Norwich City
-48.13,-14.81,0,Leon BEST,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
-20.83,-2.84,0,Yohan CABAYE,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
